Local;Provincia;Parcela;pH;CE ;Fh;HR(%);Carb(%);Ca ;Mg ;K;Na ;RAS;Mn ;Zn ;Cu ;Fe ;P_(ppm);%MO;%Arcilla;%Limo;%Arena
;;;;;;;;11183,17378;579,1592693;;;;;;;;;;;;
;;;;;;;;15017,80431;513,1836632;;;;;;;;;;;;
;;;;;;;;12202,93572;350,1417035;;;;;;;;;;;;
;;;;;;;;9495,661552;356,2997118;;;;;;;;;;;;
;;;;;;;;13654,69098;412,1020488;;;;;;;;;;;;
;;;;;;;;12570,81181;486,6815343;;;;;;;;;;;;
;;;;;;;;11325,74003;472,8261471;;;;;;;;;;;;
;;;;;;;;14757,89882;556,0545423;;;;;;;;;;;;
;;;;;;;;10497,30188;511,4399318;;;;;;;;;;;;
;;;;;;;;22276,66774;520,8095923;;;;;;;;;;;;
;;;;;;;;13900,74025;434,5905861;;;;;;;;;;;;
;;;;;;;;13116,12762;457,1349796;;;;;;;;;;;;
;;;;;;;;12293,82641;361,1569211;;;;;;;;;;;;
;;;;;;;;18036,94965;530,0571429;;;;;;;;;;;;
;;;;;;;;11510,1781;428,0053954;;;;;;;;;;;;
;;;;;;;;13337,39754;438,256681;;;;;;;;;;;;
;;;;;;;;12864,17636;384,2820427;;;;;;;;;;;;
;;;;;;;;10474,60367;393,0400931;;;;;;;;;;;;
;;;;;;;;10474,23728;462,6867276;;;;;;;;;;;;
;;;;;;;;12818,4379;441,2840267;;;;;;;;;;;;
;;;;;;;;13694,75101;462,2649725;;;;;;;;;;;;
;;;;;;;;9785,218139;431,9299404;;;;;;;;;;;;
;;;;;;;;18403,01527;475,1483615;;;;;;;;;;;;
;;;;;;;;17695,23734;485,8922894;;;;;;;;;;;;
;;;;;;;;11155,78128;549,8825195;;;;;;;;;;;;
;;;;;;;;15917,08435;561,7813858;;;;;;;;;;;;
;;;;;;;;9698,120852;508,1477814;;;;;;;;;;;;
;;;;;;;;14623,86935;473,9539783;;;;;;;;;;;;
